আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ কি কি প্রোগ্রাম অফার করে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
আন্ডারগ্রাডুয়েটে কি কি প্রোগ্রাম অফার করে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
আন্ডারগ্রাডুয়েটে কি কি প্রোগ্রাম আছে?,"আন্ডারগ্রাডুইয়েট ডিগ্রিতে ইউ আই ইউ ইইই, কম্পিউটার সাইন্স, বিবিএ, সিভিল, বিবিএ, এনভাইরনমেন্ট এন্ড ডেভেলপমেন্ট সাইন্স, ইকোনোমিক্স অফার করে"
গ্রাডুয়েটে কি কি প্রোগ্রাম অফার করে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
গ্রাডুয়েটে কি কি প্রোগ্রাম আছে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
গ্রাডুয়েট ডিগ্রিতে ইউ আই ইউ কি কি প্রোগ্রাম অফার করে?,"গ্রাডুয়েট ডিগ্রিতে এম বি এ, ইকনোমিক্স, কম্পিউটার সাইন্স, ডেভেলপমেন্ট স্টাডিস অফার করে"
আন্ডারগ্রাডুয়েট প্রোগ্রামের জন্য কতটি প্রোগ্রাম অফার করে?,আন্ডারগ্রাডুইয়েটে ৭ টি এবং গ্রাডুয়েটে ৫ টি প্রোগ্রাম অফার করে
কতটি প্রোগ্রাম অফার করে আন্ডারগ্রাডুইয়েট এবং গ্রাডুয়েট ডিগ্রিতে?,আন্ডারগ্রাডুইয়েটে ৭ টি এবং গ্রাডুয়েটে ৫ টি প্রোগ্রাম অফার করে
মিনিমাম কোয়ালিফিকেশন কি?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
ভর্তি পরীক্ষায় অংশগ্রহণের যোগ্যতা কি? ,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
ভর্তি হতে গেলে মিনিমাম কোয়ালিফিকেশন কি কি থাকতে হবে?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর এবং গ্রাডুইয়েটে প্রোগ্রাম এর জন্য সি জি পি এ ৪.০০ স্কেলে ২.০০ এর উপর লাগবে
বছরে কয়টা সেমিস্টার?,বছরে ৩ টি সেমিস্টার
এইচ এস সি এক্সাম দিলে কি আন্ডারগ্রাডুয়েটে ভর্তি হতে পারবো?,আন্ডারগ্রাডুইয়েটে প্রোগ্রাম এর জন্য এইচ এস সি তে জি পি এ ৫.০০ স্কেলে ২.০০ এর উপর থাকতে হবে
এডমিশন ফর্ম পাবো কোথায়?,এডমিশন ফর্ম অনলাইন থেকে অথবা ইউ আই ইউ এর এডমিশন ডেস্ক থেকে সংগ্রহ করতে হবে
এডমিশন ফর্ম কোথা থেকে নিবো?,এডমিশন ফর্ম অনলাইন থেকে অথবা ইউ আই ইউ এর এডমিশন ডেস্ক থেকে সংগ্রহ করতে হবে
এডমিশন ফর্ম কোথা থেকে সংগ্রহ করব?,এডমিশন ফর্ম অনলাইন থেকে অথবা ইউ আই ইউ এর এডমিশন ডেস্ক থেকে সংগ্রহ করতে হবে
এডমিশন টেস্টে কি কি বিষয় থেকে প্রস্ন আসবে?,এইচ এস সি অথবা ও লেভেলের নির্ধারিত টপিক এর উপর
এডমিশন টেস্টে কি কি টপিক থেকে প্রশ্ন আসতে পারে?,এইচ এস সি অথবা ও লেভেলের নির্ধারিত টপিক এর উপর
ভর্তির খরচ কত?,এডমিশন ফি অফেরতযোগ্য ১৫০০০ টাকা এবং আইডি কার্ডের জন্য সিকিউরিটি মানি ফেরতযোগ্য ২০০০ টাকা
ভর্তি হতে কত টাকা লাগে?,এডমিশন ফি অফেরতযোগ্য ১৫০০০ টাকা এবং আইডি কার্ডের জন্য সিকিউরিটি মানি ফেরতযোগ্য ২০০০ টাকা
এডমিশন ফি কত?,এডমিশন ফি অফেরতযোগ্য ১৫০০০ টাকা এবং আইডি কার্ডের জন্য সিকিউরিটি মানি ফেরতযোগ্য ২০০০ টাকা
কি কি এডমিশন ডকুমেন্টস অবশই সাবমিট করতে হবে?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রয়োজন"
আন্ডারগ্রাডুইয়েট ডিগ্রিতে কি ইভিনিং ক্লাস হয়?,আন্ডারগ্রাডুয়েট ডিগ্রিতে কোনো সন্ধ্যাকালীন ক্লাস নাই
সন্ধ্যাকালীন ক্লাস কি হবে আন্ডারগ্রাডুইয়েট ডিগ্রিতে?,আন্ডারগ্রাডুয়েট ডিগ্রিতে কোনো সন্ধ্যাকালীন ক্লাস নাই
ইভিনিং ক্লাসের নিয়ম আছে?,গ্রাডুয়েট প্রোগ্রাম এর জন্য ইভিনিং ক্লাস হয়
গ্রাডুয়েট প্রোগ্রামের জন্য কি ইভিনিং ক্লাস আছে?,গ্রাডুয়েট প্রোগ্রাম এর জন্য ইভিনিং ক্লাস হয়
ইভিনিং ক্লাস কি হয় ?,গ্রাডুয়েট প্রোগ্রাম এর জন্য ইভিনিং ক্লাস হয়
ক্রেডিট ট্রান্সফারের উপায় গুলা কি কি?,বিগত পরিক্ষাগুলোতে মিনিমাম সি জি পি এ ২.৫ হলে স্ব স্ব ডিপার্টমেন্টে আবেদন করে ক্রেডিট ট্রান্সফার করা যায়
ক্রেডিট ট্রান্সফার?,বিগত পরিক্ষাগুলোতে মিনিমাম সি জি পি এ ২.৫ হলে স্ব স্ব ডিপার্টমেন্টে আবেদন করে ক্রেডিট ট্রান্সফার করা যায়
"ক্রেডিট ট্রান্সফার করতে চাই, কি করতে হবে?",বিগত পরিক্ষাগুলোতে মিনিমাম সি জি পি এ ২.৫ হলে স্ব স্ব ডিপার্টমেন্টে আবেদন করে ক্রেডিট ট্রান্সফার করা যায়
ক্রেডিট ট্রান্সফার করতে কি কি করতে হবে?,বিগত পরিক্ষাগুলোতে মিনিমাম সি জি পি এ ২.৫ হলে স্ব স্ব ডিপার্টমেন্টে আবেদন করে ক্রেডিট ট্রান্সফার করা যায়
স্টুডেন্টদের জন্য ক্রেডিট ট্রান্সফারের নিয়মগুলা কি কি?,বিগত পরিক্ষাগুলোতে মিনিমাম সি জি পি এ ২.৫ হলে স্ব স্ব ডিপার্টমেন্টে আবেদন করে ক্রেডিট ট্রান্সফার করা যায়
সিব্লিং সুবিধা কি আছে?,সিব্লিংদের জন্য কম্পিটিশনের বেসিসে ২০% টিউশন ওয়েভ করা হয়
সিব্লিংদের ভর্তির জন্য কি কি সুবিধা পাওয়া যেতে পারে?,সিব্লিংদের জন্য কম্পিটিশনের বেসিসে ২০% টিউশন ওয়েভ করা হয়
সিব্লিং ভর্তির জন্য টিউশন ওয়েভের কোনো ব্যাবস্থা আছে?,সিব্লিংদের জন্য কম্পিটিশনের বেসিসে ২০% টিউশন ওয়েভ করা হয়
সিব্লিং সুবিধা গুলা কি কি?,সিব্লিংদের জন্য কম্পিটিশনের বেসিসে ২০% টিউশন ওয়েভ করা হয়
সিব্লিং সুবিধা পাওয়া যাবে?,সিব্লিংদের জন্য কম্পিটিশনের বেসিসে ২০% টিউশন ওয়েভ করা হয়
এডমিশন প্রসিডিউর কি?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রদানের মাধ্যমে অনলাইনে আবেদন করতে হবে"
এডমিশনের নিয়ম গুলা কি কি?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রদানের মাধ্যমে অনলাইনে আবেদন করতে হবে"
ভর্তির নিয়ম গুলা কি কি?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রদানের মাধ্যমে অনলাইনে আবেদন করতে হবে"
ভর্তি কিভাবে হব?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রদানের মাধ্যমে অনলাইনে আবেদন করতে হবে"
ভর্তি হতে চাইলে কি করতে হবে?,"সকল বিগত পরিক্ষার সার্টিফিকেট, মার্কস শিট এবং টেস্টিমনিয়াল, ২ কপি পাসপোর্ট সাইজ ছবি, ১ কপি স্ট্যাম্প সাইজ ছবি, এন আই ডি অথবা বার্থ সার্টিফিকেট প্রদানের মাধ্যমে অনলাইনে আবেদন করতে হবে"
এডমিশন ফর্মের মূল্য কত?,এডমিশন ফর্মের মূল্য ১০০০ টাকা
এডমিশন ফর্ম কিনতে কত টাকা লাগবে?,এডমিশন ফর্মের মূল্য ১০০০ টাকা
এডমিশন ফর্ম অনলাইনেও পাওয়া যায়?,হ্যা
অনলাইন থেকে এডমিট কার্ড প্রিন্ট করতে পারব?,হ্যা
মোট কতটা সেমিস্টার লাগবে?,আন্ডারগ্রাডুয়েটে মোট ১২ টা সেমিস্টার লাগে
আন্ডারগ্রাডুয়েটে টোটাল কয়টা সেমিস্টার?,আন্ডারগ্রাডুয়েটে মোট ১২ টা সেমিস্টার লাগে
প্রত্যেক সেমিস্টারে কত টাকা দিতে হবে? ,বিস্তারিত জানতে ওয়েবসাইট দেখতে হবে
সেমিস্টার ফি কত?,বিস্তারিত জানতে ওয়েবসাইট দেখতে হবে
